,combinations,train accuracy,val accuracy
0,"(100, 3000, 128, 0.01, 0.01)",0.10026530612244898,0.087
1,"(100, 3000, 128, 0.01, 0.001)",0.10026530612244898,0.087
2,"(100, 3000, 128, 0.01, 0.0001)",0.10026530612244898,0.087
3,"(100, 3000, 128, 0.001, 0.01)",0.5818367346938775,0.529
4,"(100, 3000, 128, 0.001, 0.001)",0.5853265306122449,0.521
5,"(100, 3000, 128, 0.001, 0.0001)",0.580469387755102,0.516
6,"(100, 3000, 128, 0.0001, 0.01)",0.40714285714285714,0.421
7,"(100, 3000, 128, 0.0001, 0.001)",0.4075714285714286,0.42
8,"(100, 3000, 128, 0.0001, 0.0001)",0.4073673469387755,0.421
9,"(100, 3000, 256, 0.01, 0.01)",0.10026530612244898,0.087
10,"(100, 3000, 256, 0.01, 0.001)",0.10026530612244898,0.087
11,"(100, 3000, 256, 0.01, 0.0001)",0.10026530612244898,0.087
12,"(100, 3000, 256, 0.001, 0.01)",0.595204081632653,0.503
13,"(100, 3000, 256, 0.001, 0.001)",0.5952244897959184,0.507
14,"(100, 3000, 256, 0.001, 0.0001)",0.5985510204081632,0.509
15,"(100, 3000, 256, 0.0001, 0.01)",0.38687755102040816,0.386
16,"(100, 3000, 256, 0.0001, 0.001)",0.3868979591836735,0.388
17,"(100, 3000, 256, 0.0001, 0.0001)",0.3869795918367347,0.388
18,"(100, 3000, 512, 0.01, 0.01)",0.10026530612244898,0.087
19,"(100, 3000, 512, 0.01, 0.001)",0.10026530612244898,0.087
20,"(100, 3000, 512, 0.01, 0.0001)",0.10026530612244898,0.087
21,"(100, 3000, 512, 0.001, 0.01)",0.5920816326530612,0.513
22,"(100, 3000, 512, 0.001, 0.001)",0.5923061224489796,0.524
23,"(100, 3000, 512, 0.001, 0.0001)",0.592469387755102,0.525
24,"(100, 3000, 512, 0.0001, 0.01)",0.35736734693877553,0.359
25,"(100, 3000, 512, 0.0001, 0.001)",0.3573265306122449,0.359
26,"(100, 3000, 512, 0.0001, 0.0001)",0.3574081632653061,0.359
27,"(100, 4000, 128, 0.01, 0.01)",0.10026530612244898,0.087
28,"(100, 4000, 128, 0.01, 0.001)",0.10026530612244898,0.087
29,"(100, 4000, 128, 0.01, 0.0001)",0.10026530612244898,0.087
30,"(100, 4000, 128, 0.001, 0.01)",0.6153265306122448,0.544
